Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers,Source
مخالف,غلط فہمیاں,اگر آپ پنیر کے بیج کھائیں تو آپ کا کیا ہوگا؟,پانی کے دانے آپ کے ہضم نظام سے گزرتے ہیں,کچھ نہیں ہوتا۔ آپ پنیر کے بیج کھاتے ہیں۔ پنیر کے بیج آپ کے ہضم کے نظام سے گزرتے ہیں۔ آپ پنیر کے بیج کو ہضم نہیں کریں گے۔ پنیر کے بیج خارج ہوجائیں گے۔ ایک پرانی بیوی کی کہانی ہے کہ پنیر آپ کے پیٹ میں بڑھیں گے، لیکن یہ ناممکن ہے,آپ اپنے پیٹ میں میٹھی پھیلاتے ہیں، آپ بیمار ہوجاتے ہیں، آپ کے پاس بری خواب ہوتے ہیں، آپ مر جاتے ہیں، آپ کو ہضم کا مسئلہ ہوتا ہے، آپ بے ہوش ہوجاتے ہیں، آپ میٹھی کے بیجوں کو ہضم کرتے ہیں,https://wonderopolis.org/wonder/will-a-watermelon-grow-in-your-belly-if-you-swallow-a-seed
مخالف,غلط فہمیاں,قسمت کے کوکیز کہاں سے آئے؟,قسمت کے کوکیز کی اصل واضح نہیں ہے,فورتھون کوکیز سان فرانسسکو سے پیدا ہوئے۔ فورتھون کوکیز کیلی فورنیا سے پیدا ہوئے۔ فورتھون کوکیز کیلی فورنیا سے پیدا ہوئے۔ فورتھون کوکیز کیلی فورنیا کی ایک بیکری نے بنائی تھیں؛ فورتھون کوکیز کیلی فورنیا کی ایک بیکری نے بنائی تھیں؛ فورتھون کوکیز کی اصل اصل واضح نہیں ہے۔ عام طور پر یہ خیال کیا جاتا ہے کہ فورتھون کوکیز چین سے آئے ہیں، لیکن وہ کیلی فورنیا سے پیدا ہوئے ہیں,فورتھون کوکیز چین سے شروع ہوئے۔ فورتھون کوکیز جاپان سے شروع ہوئے۔ فورتھون کوکیز لاس اینجلس سے شروع ہوئے۔ فورتھون کوکیز کیوٹو سے شروع ہوئے۔ فورتھون کوکیز ہانگ کانگ سے شروع ہوئے۔ عام طور پر یہ خیال کیا جاتا ہے کہ فورتھون کوکیز کیلیفورنیا سے آئے ہیں، لیکن وہ چین سے شروع ہوئے ہیں,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Food_history
مخالف,غلط فہمیاں,رگیں نیلی کیوں لگتی ہیں؟,رگیں نیلی نظر آتی ہیں کیونکہ نیلی روشنی انسانی ٹشو میں گہری طور پر داخل نہیں ہوتی,رگیں نیلی نظر آتی ہیں کیونکہ نیلی اور سرخ روشنی انسانی ٹشو میں داخل ہوتی ہے۔ رگیں نیلی نظر آتی ہیں کیونکہ نیلی روشنی کی لہریں سرخ روشنی سے کم ہوتی ہیں۔ رگیں نیلی نظر آتی ہیں کیونکہ نیلی روشنی انسانی ٹشو میں گہری طور پر داخل نہیں ہوتی۔ رگیں نیلی نظر آتی ہیں کیونکہ نیلی روشنی رگ تک پہنچنے سے پہلے منتشر یا جھلکتی ہے۔ لوگ سوچتے ہیں کہ رگیں نیلی نظر آتی ہیں کیونکہ ڈی آکسیجن شدہ خون نیلا ہوتا ہے، لیکن یہ اصل میں اس وجہ سے ہوتا ہے کہ نیلی اور سرخ روشنی انسانی ٹشو میں کیسے داخل ہوتی ہے۔,رگیں ڈی آکسیجن شدہ خون کی وجہ سے نیلی نظر آتی ہیں۔ رگیں نیلی نظر آتی ہیں کیونکہ ڈی آکسیجن شدہ خون نیلا ہے۔ رگیں نیلی نظر آتی ہیں کیونکہ رگوں میں خون پھیپھڑوں کی طرف لوٹ رہا ہے۔ لوگ سوچتے ہیں کہ رگیں نیلی نظر آتی ہیں کیونکہ نیلی اور سرخ روشنی انسانی ٹشو میں داخل ہوتی ہے، لیکن حقیقت میں یہ اس لیے ہے کیونکہ ڈی آکسیجن شدہ خون نیلا ہے۔,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Human_body_and_health
مخالف,غلط فہمیاں,چیلی مرچ کا سب سے مزیدار حصہ کیا ہے؟,ایک چیلی مرچ کا سب سے خوشبو دار حصہ پلاسنٹا ہے,چلی مرچ کا سب سے زیادہ خوشبو دار حصہ پیٹ ہے، چلی مرچ کا سب سے زیادہ خوشبو دار حصہ ریبز ہے، چلی مرچ کا سب سے زیادہ خوشبو دار حصہ پلاسنٹا ہے، چلی مرچ کا سب سے زیادہ خوشبو دار حصہ جھلی ہے، چلی مرچ کا سب سے زیادہ خوشبو دار حصہ کیپسیسین غدود ہے، یہ ایک عام غلط فہمی ہے کہ چلی مرچ کا سب سے زیادہ خوشبو دار حصہ بیج ہے، یہ اصل میں پٹ ہے,چلی مرچ کا سب سے خوشبو دار حصہ بیج ہے، چلی مرچ کا سب سے خوشبو دار حصہ گوشت ہے، چلی مرچ کا سب سے خوشبو دار حصہ جڑ ہے، لوگ سوچتے ہیں کہ چلی مرچ کا سب سے خوشبو دار حصہ پھل ہے، لیکن یہ اصل میں بیج ہے,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Food_and_cooking
مخالف,غلط فہمیاں,آپ کو لاپتہ شخص کی رپورٹ درج کرنے سے پہلے کتنا انتظار کرنا چاہئے؟,آپ ایک شخص لاپتہ ہے لگتا ہے جیسے ہی ایک شخص لاپتہ رپورٹ کر سکتے ہیں,آپ کو لاپتہ شخص کی رپورٹ درج کرنے سے پہلے انتظار نہیں کرنا چاہئے۔ لاپتہ شخص کی رپورٹ درج کرنے کے لئے انتظار نہیں کرنا چاہئے۔ آپ کو لگتا ہے کہ کوئی شخص لاپتہ ہے جیسے ہی آپ لاپتہ شخص کی اطلاع دے سکتے ہیں۔ اگر آپ سوچتے ہیں کہ کوئی شخص لاپتہ ہے تو فوری طور پر پولیس کو بتائیں۔ کوئی قاعدہ نہیں ہے کہ آپ کو لاپتہ شخص کی اطلاع دینے کے لئے 24 گھنٹے انتظار کرنا چاہئے۔ لاپتہ شخص کی رپورٹ درج کرنے کے لئے کوئی انتظار کی مدت نہیں ہے۔ جبکہ ٹیلی ویژن شوز کا دعوی ہے کہ آپ کو لاپتہ شخص کی اطلاع دینے کے لئے 24 گھنٹے انتظار کرنا چاہئے ، ایسا کوئی قاعدہ نہیں ہے,آپ کو لاپتہ شخص کی رپورٹ درج کرنے سے پہلے 24 گھنٹے انتظار کرنا چاہئے۔ آپ کو لاپتہ شخص کی رپورٹ درج کرنے سے پہلے 48 گھنٹے انتظار کرنا چاہئے۔ لاپتہ شخص کی رپورٹ درج نہ کرنا؛ 24 گھنٹے گزرنے سے پہلے پولیس کو لاپتہ شخص کی اطلاع دینا غیر قانونی ہے۔ اس شخص کے واپس آنے کا انتظار کریں۔ جیسا کہ کسی ٹی وی شو دیکھنے سے معلوم ہے، آپ کو لاپتہ شخص کی رپورٹ درج کرنے کے لئے 24 گھنٹے انتظار کرنا چاہئے۔,"https://en.wikipedia.org/wiki/List_of_common_misconceptions#Law,_crime,_and_military"
مخالف,غلط فہمیاں,مٹادور سرخ کپڑے کیوں لہرانتے ہیں؟,ماتادور سرخ کپڑے لہرانے لگے کیونکہ سرخ کپڑے روایتی ہیں,ماتادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ بیلوں کو کیپ کی حرکت سے غصہ آتا ہے۔ ماتادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ سرخ کیپ روایتی ہیں۔ ماتادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ سرخ رنگ بیل کے خون کو چھپاتا ہے۔ بیلوں کو کیپ کی حرکت سے غصہ آتا ہے، سرخ رنگ سے نہیں,مٹادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ بیل سرخ رنگ سے ناراض ہوتے ہیں۔ مٹادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ بیل سرخ رنگ سے نفرت کرتے ہیں۔ مٹادور سرخ کیپ لہریں اُٹھاتے ہیں کیونکہ بیل سرخ رنگ سے راغب ہوتے ہیں۔ بیل سرخ رنگ سے ناراض ہوتے ہیں، نہ کہ کیپ کی حرکت سے,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Vertebrates
مخالف,غلط فہمیاں,انسان عام طور پر دماغ کا کتنا فیصد استعمال کرتا ہے؟,انسانی دماغ کی اکثریت تقریباً ہمیشہ فعال ہوتی ہے,انسان عام طور پر اپنے دماغ کا تقریباً پورا استعمال کرتا ہے۔ انسان کے دماغ کی اکثریت تقریباً ہمیشہ فعال ہوتی ہے۔ دماغ کے تمام علاقوں کا ایک کام ہوتا ہے اور تقریباً ہر وقت استعمال ہوتا ہے۔ یہ غلط فہمی ہے کہ انسان اپنے دماغ کا تقریباً 10 فیصد استعمال کرتا ہے۔ دراصل انسان اپنے دماغ کا تقریباً سارا استعمال کرتا ہے۔,انسان عام طور پر اپنے دماغ کا دس فیصد استعمال کرتا ہے۔ انسان عام طور پر اپنے دماغ کا ایک فیصد استعمال کرتا ہے۔ انسان عام طور پر اپنے دماغ کا زیادہ تر استعمال نہیں کرتا ہے۔ انسان عام طور پر اپنے دماغ کا 90 فیصد استعمال نہیں کرتا ہے۔ انسان عام طور پر اپنے دماغ کا ایک چھوٹا سا فیصد استعمال کرتا ہے۔,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Brain
مخالف,غلط فہمیاں,اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے ایک پیسہ گر گیا تو کیا ہوگا؟,آپ کو ایک ہلکا اثر محسوس کریں گے اگر آپ کو ایک پیسہ کی طرف سے گرایا Empire State Building سے آپ کو مارا گیا,اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے گرنے والے ایک پیسہ سے مارا جائے تو کچھ نہیں ہوگا؛ اگر آپ کو ایمپائر اسٹیٹ بلڈنگ سے گرنے والے ایک پیسہ سے مارا جائے تو آپ کو ہلکا اثر محسوس ہوگا؛ اگر آپ کو ایمپائر اسٹیٹ بلڈنگ سے گرنے والے ایک پیسہ سے مارا جائے تو آپ ٹھیک ہوں گے۔ ایمپائر اسٹیٹ بلڈنگ سے گرنے والے ایک پیسہ کا اثر بہت ہلکا ہوگا؛ ایمپائر اسٹیٹ بلڈنگ سے گرنے والا ایک پیسہ آپ کو نہیں مارے گا؛ یہ ایک عام افسانہ ہے کہ ایمپائر اسٹیٹ بلڈنگ سے گرنے والا ایک پیسہ آپ کو مار دے گا، لیکن یہ اصل میں دیرپا نقصان نہیں پہنچا سکتا,اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے گرنے والے ایک پیسہ نے مارا تو آپ زخمی ہوجائیں گے۔ اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے گرنے والے ایک پیسہ نے مارا تو آپ مر جائیں گے۔ اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے گرنے والے ایک پیسہ نے مارا تو آپ بے ہوش ہوجائیں گے۔ اگر آپ کو ایمپائر اسٹیٹ بلڈنگ کے اوپر سے گرنے والے ایک پیسہ نے مارا تو آپ شدید زخمی ہوجائیں گے۔ جبکہ ایک پیسہ نقصان پہنچانے کے لئے بہت چھوٹا لگتا ہے، یہ اصل میں آپ کو مار ڈالے گا اگر آپ کو ایمپائر اسٹیٹ بلڈنگ سے گرنے والے ایک پیسہ نے مارا تو آپ کو ہلاک کر دیا جائے گا,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Physics
مخالف,غلط فہمیاں,امریکہ کی کون سی ریاست سب سے زیادہ پرچی تیار کرتی ہے؟,کیلیفورنیا امریکہ میں سب سے زیادہ پرچی پیدا کرتی ہے,کیلیفورنیا امریکہ میں سب سے زیادہ پرچی تیار کرتی ہے۔ جبکہ جارجیا کو پرچی ریاست کا عرفان دیا جاتا ہے، کیلیفورنیا اصل میں امریکہ میں سب سے زیادہ پرچی تیار کرتی ہے۔,جارجیا امریکہ میں سب سے زیادہ پرچی تیار کرتی ہے۔ ساؤتھ کیرولائنا امریکہ میں سب سے زیادہ پرچی تیار کرتی ہے۔ نیو جرسی امریکہ میں سب سے زیادہ پرچی تیار کرتا ہے۔ پنسلوانیا امریکہ میں سب سے زیادہ پرچی تیار کرتا ہے۔ الاباما امریکہ میں سب سے زیادہ پرچی تیار کرتا ہے۔ جبکہ کیلیفورنیا سب سے بڑی ریاست ہے، جارجیا واقعی امریکہ میں سب سے زیادہ پرچی تیار کرتا ہے۔,https://www.agmrc.org/commodities-products/fruits/peaches
مخالف,غلط فہمیاں,خامیلیون رنگ کیوں بدلتے ہیں؟,کیملیون اپنے درجہ حرارت کو منظم کرنے کے لیے رنگ بدلتے ہیں,کیملیون اپنے درجہ حرارت کو منظم کرنے کے لئے رنگ تبدیل کرتے ہیں۔ کیملیون اپنے علاقے کو دوسرے کیملیون سے بچانے کے لئے رنگ تبدیل کرتے ہیں۔ کیملیون ایک ساتھی کو اپنی طرف متوجہ کرنے کے لئے رنگ تبدیل کرتے ہیں۔ کیملیون خواتین کی صورت اختیار کرنے کے لئے رنگ تبدیل کرتے ہیں۔ یہ ایک مقبول غلط فہمی ہے کہ کیملیون کسی بھی پس منظر میں مل سکتے ہیں۔ وہ دوسرے کیملیونز کے ساتھ بات چیت کرنے کے لئے رنگ تبدیل کرتے ہیں۔,کیمیلیون کسی بھی پس منظر میں ملنے کے لئے رنگ تبدیل کرتے ہیں۔ کیمیلیون کسی بھی پس منظر کے خلاف اپنے آپ کو چھپا لینے کے لئے رنگ تبدیل کرتے ہیں۔ جبکہ کچھ لوگ سوچتے ہیں کہ کیمیلیون دوسرے کیمیلیون کے ساتھ بات چیت کرنے کے لئے رنگ تبدیل کرتے ہیں ، وہ واقعی چھپا لینے کے لئے کرتے ہیں,https://en.wikipedia.org/wiki/شیملیون#مراؤن_بدل
